"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-01",,,"0.00","T,,Z,","0.0",",,Z,","0.0",",,Z,","52",",,Z","44",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-02",,,"0.00","T,,Z,2400","0.0",",,Z,","0.0",",,Z,2400","62",",,Z","51",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-03",,,"0.00",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","69",",,Z","58",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-04",,,"0.40",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","66",",,Z","56",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-05",,,"0.17",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","56",",,Z","36",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-06",,,"0.00",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","38",",,Z","22",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-07",,,"0.00",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","35",",,Z","20",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-08",,,"0.00","T,,Z,2400","0.0","T,,Z,","0.0",",,Z,2400","29",",,Z","19",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-09",,,"0.20",",,Z,2400","0.7",",,Z,","0.0","T,,Z,2400","33",",,Z","25",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-10",,,"0.11",",,Z,2400","1.1",",,Z,","2.0",",,Z,2400","28",",,Z","1",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-11",,,"0.00","T,,Z,2400","0.0","T,,Z,","1.0",",,Z,2400","12",",,Z","0",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-01-12",,,"0.00",",,Z,2400","0.0",",,Z,","1.0",",,Z,2400","18",",,Z","1",",,Z",,,,,,,,,,,,,,,,
